現地コード,銘柄名(English),銘柄名,市場,業種,取扱
CMS,CMS ENERGY,CMSエナジー,NYSE,その他製造,○
CMT,CORE MOLDING TEC,コア・モールディング・テクノロジーズ,NYSE,その他製造,○
CMTL,COMTECH TELECOM,コムテック・テレコミュニケーションズ,NASDAQ,通信機器,○
CNA,CNA FINANCIAL,CNAファイナンシャル,NYSE,金融(保険),○
CNC,CENTENE CORP,センティーン,NYSE,ヘルスケア,○
CNCK,COINCHECK GROUP,コインチェックグループ,NASDAQ,その他,○
CNDT,CONDUENT INC,コンデュエント,NASDAQ,情報処理サービス,○
CNET,ZW DATA ACN TECH,ZWデータ・アクション・テクノロジーズ,NASDAQ,通信サービス,○
CNEY,CN ENERGY GP,CNエナジー・グループ,NASDAQ,化学,○
CNF,CNFINANCE HLD,CNファイナンス・ホールディングス,NYSE,金融（銀行）,○
CNH,CNH INDUSTRIAL,CNHインダストリアル,NYSE,機械,○
CNI,CANADI NATIONAL,カナディアン・ナショナル・レールウェイ,NYSE,運輸,○
CNK,CINEMARK HOLDING,シネマーク・ホールディングス,NYSE,エンターテイメント,○
CNM,CORE MAIN INC,コア・メイン,NYSE,専門店,○
CNMD,CONMED CORP,コンメド,NYSE,ヘルスケア,○
CNNE,CANNAE HOLDINGS,カンナエ・ホールディングス,NYSE,外食,○
CNO,CNO FINANCIAL,CNOファイナンシャル・グループ,NYSE,金融(保険),○
CNOB,CONNECTONE BANC,コネクトワン・バンコープ,NASDAQ,金融（銀行）,○
CNP,CENTERPOINT ENER,センターポイント・エナジー,NYSE,その他製造,○
CNQ,CAN NATURAL RES,カナディアン・ナチュラルリソーシズ,NYSE,石油,○
CNR,CORE NATURAL RES,コア・ナチュラル・リソーシズ,NYSE,その他,○
CNRG,SPDR SP CLEAN PW,SPDR S&P Kenshoクリーン・パワーETF,NYSE,その他,○
CNS,COHEN & STEERS,コーヘン・アンド・スティアーズ,NYSE,金融（証券）,○
CNTA,CENTESSA PHARMA,センテッサ・ファーマシューティカルズ,NASDAQ,医薬品,○
CNTB,CONNECT BIO,コネクト・バイオファーマ,NASDAQ,医薬品（バイオテクノロジー）,○
CNTX,CONTEXT THERAPE,コンテクスト・セラピューティクス,NASDAQ,医薬品（バイオテクノロジー）,○
CNTY,CENTURY CASINO,センチュリー・カジノス,NASDAQ,エンターテイメント,○
CNVS,CINEVERSE CORP,シネバース,NASDAQ,エンターテイメント,○
CNX,CNX RESOURCES,CNXリソーシーズ,NYSE,その他,○
CNXC,CONCENTRIX CORP,コンセントリクス・コーポレーション,NASDAQ,運輸,○
CNXN,PC CONNECTION,PCコネクション,NASDAQ,コンピュータ,○
CNXT,V CHINEXT ETF,ヴァンエック・チャイネクストETF,NYSE,その他,○
COCO,VITA COCO,ビタ・ココ・カンパニー,NASDAQ,飲料,○
COCP,COCRYSTAL PHARMA,コクリスタル・ファーマ,NASDAQ,医薬品（バイオテクノロジー）,○
CODA,CODA OCTOPUS GR,コーダ・オクトパス・グループ,NASDAQ,その他,○
CODX,CO-DIAGNOSTICS,コ・ダイアグノスティックス,NASDAQ,ヘルスケア,○
COE,51TALK ONLINE ED,51トーク・オンライン・エデュケーション・グループ,NYSE,ソフトウェア・サービス,○
COF,CAPITAL ONE FIN,キャピタル・ワン・ファイナンシャル,NYSE,金融（銀行）,○
COFS,CHOICEONE FN SRV,チョイスワン・フィナンシャル・サービシズ,NASDAQ,金融（銀行）,○
COGT,COGENT BIOSCIENC,コージェント・バイオサイエンス,NASDAQ,医薬品（バイオテクノロジー）,○
COHR,COHERENT,コヒレント,NYSE,その他製造,○
COHU,COHU INC,コヒュー,NASDAQ,半導体,○
COIN,COINBASE GLOBAL,コインベース,NASDAQ,その他,○
COKE,COCACOLA CNSLDT,コカ・コーラ・コンソリデーティッド,NASDAQ,飲料,○
COLB,COLUMBIA BANKING,コロンビア・バンキング・システム,NASDAQ,金融（銀行）,○
COLL,COLLEGIUM PHARMA,コレギウム・ファーマシューティカル,NASDAQ,医薬品,○
COLM,COLUMBIA SPORTS,コロンビア・スポーツウエア,NASDAQ,その他製造,○
COM,DRX AUSP COM ETF,Direxion オースピス・ブロード・コモディティ戦略 ETF,NYSE,その他,○
COMM,COMMSCOPE HLD,コムスコープ・ホールディング,NASDAQ,通信機器,○
COMP,COMPASS INC,コンパス,NYSE,ソフトウェア・サービス,○
CON,CONCENTRA GROUP,コンセントラ・グループ・ホールディングス・ペアレント,NYSE,ヘルスケア,○
CONI,GNS COIN 1X SHRT,グラナイトシェアーズ1倍ショートCOINデイリーETF,NASDAQ,その他,○
CONL,GNS COIN BL2X,グラナイトシェアーズ2倍ロングCOINデイリーETF,NASDAQ,その他,○
COO,COOPER COMPANIES,クーパー,NASDAQ,ヘルスケア,○
COOK,TRAEGER INC,トレーガ―,NYSE,その他製造,○
COOP,MR COOPER GROUP,ミスター・クーパー・グループ,NASDAQ,金融(保険),○
COP,CONOCOPHILLIPS,コノコフィリップス,NYSE,石油,○
COPX,GLX COP MINE ETF,グローバルX 銅ビジネス ETF,NYSE,その他,○
COR,CENCORA,センコラ,NYSE,ヘルスケア,○
CORT,CORCEPT THERAP,コーセプト・セラピューティックス,NASDAQ,医薬品,○
CORZ,CORE SCIENTIFIC,コア・サイエンティフィック,NASDAQ,ソフトウェア・サービス,○
COST,COSTCO WHOLESALE,コストコホールセール,NASDAQ,小売,○
COTY,COTY INC A,コティ　クラスA,NYSE,その他製造,○
COUR,COURSERA INC,コーセラ,NYSE,その他,○
CP,CAN PACIFIC KC,カナディアン・パシフィック・カンザス・シティ,NYSE,運輸,○
CPA,COPA HOLDINGS SA,コパ・ホールディングス,NYSE,運輸,○
CPAC,CEMENTOS PACASMA,セメント・パカスマヨSAA,NYSE,その他製造,○
CPAY,CORPAY INC,コーペイ,NYSE,ソフトウェア・サービス,○
CPB,CAMPBELLS CO.,ザ・キャンベルズ・カンパニー,NASDAQ,食品,○
CPF,CENTRAL PCF FNCL,セントラル・パシフィック・ファイナンシャル・コープ,NYSE,金融（銀行）,○
CPHC,CANTERBURY PARK,カンタベリー・パーク・ホールディング,NASDAQ,エンターテイメント,○
CPIX,CUMBERLAND PHARM,カンバーランド・ファーマシューティカルズ,NASDAQ,医薬品,○
CPK,CHESAPEAKE UTIL,チェサピーク・ユーティリティーズ,NYSE,ガス・パイプライン,○
CPNG,COUPANG INC,クーパン,NYSE,ソフトウェア・サービス,○
CPOP,POP CULTURE GR,ポップ・カルチャー・グループ,NASDAQ,エンターテイメント,○
CPRI,CAPRI HOLDINGS,カプリ・ホールディングス,NYSE,その他製造,○
CPRT,COPART INC,コパート,NASDAQ,小売,○
CPRX,CATALYST PHARMA,カタリスト・ファーマシューティカルズ,NASDAQ,医薬品（バイオテクノロジー）,○
CPS,COOPER-STANDARD,クーパー-スタンダード・ホールディングス,NYSE,自動車,○
CPSH,CPS TECHNOLOGIES,CPSテクノロジーズ,NASDAQ,通信サービス,○
CPSS,CONSUMER PORTFLO,コンシューマー・ポートフォリオ・サービシーズ,NASDAQ,金融（銀行）,○
CR,CRANE CO,クレイン・カンパニー,NYSE,その他,○
CRAI,CRA INTERNATIONL,CRAインターナショナル,NASDAQ,その他,○
CRBG,COREBRIDGE FIN,コアブリッジ・ファイナンシャル,NYSE,金融(保険),○
CRBP,CORBUS PHARMACEU,コーバスファーマシューティカルズホールディングス,NASDAQ,医薬品（バイオテクノロジー）,○
CRBU,CARIBOU BIOSCNCE,カリブー・バイオサイエンシズ,NASDAQ,医薬品（バイオテクノロジー）,○
CRC,CALIFORNIA RES,カリフォルニア・リソーシズ,NYSE,石油,○
CRCT,CRICUT INC,クリカット,NASDAQ,その他,○
CRDF,CARDIFF ONCOLOGY,カーディフ・オンコロジー,NASDAQ,医薬品（バイオテクノロジー）,○
CRDO,CREDO TECHNO GP,クレド・テクノロジー・グループ・ホールディング,NASDAQ,ネットワークセキュリティー,○
CREG,SMART POWERR,スマート・パワー,NASDAQ,電力,○
CRESY,CRESUD SACIF Y A,クレサッド・サシフYA,NASDAQ,その他,○
CREX,CREATIV REALITIE,クリエイティブ・リアリティーズ,NASDAQ,ソフトウェア・サービス,○
CRGY,CRESCENT ENERGY,クレセント・エナジー,NYSE,石油,○
CRH,CRH PUBLIC NEWCO,CRH,NYSE,その他製造,○
CRI,CARTERS INC,カーターズ,NYSE,専門店,○
CRIS,CURIS INC,キューリス,NASDAQ,医薬品,○
CRK,COMSTOCK RESRCES,コムストック・リソーシズ,NYSE,石油,○
CRL,CHARLS RIVER LAB,チャールズリバー・ラボラトリーズ・インターナショナル,NYSE,ヘルスケア,○
CRM,SALESFORCE,セールスフォース,NYSE,ソフトウェア・サービス,○
CRMD,CORMEDIX INC,コーメディックス,NASDAQ,医薬品（バイオテクノロジー）,○
CRML,CRITICAL METALS,クリティカル・メタルズ,NASDAQ,その他,○
CRMT,AMERICAS CAR-MRT,アメリカズ・カーマート,NASDAQ,小売,○
CRNC,CERENCE INC,セレンス・インク,NASDAQ,ソフトウェア・サービス,○
CRNT,CERAGON NETWORKS,セラゴン・ネットワークス,NASDAQ,通信機器,○
